Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
69,16,3,139,5,Some Random Commen with Id 69
70,16,3,184,1,Some Random Commen with Id 70
71,16,3,107,1,Some Random Commen with Id 71
72,16,3,49,8,Some Random Commen with Id 72
73,16,3,36,9,Some Random Commen with Id 73
74,16,3,180,9,Some Random Commen with Id 74
75,17,8,181,1,Some Random Commen with Id 75
76,17,8,130,0,Some Random Commen with Id 76
77,17,8,28,1,Some Random Commen with Id 77
78,17,8,196,8,Some Random Commen with Id 78
79,17,8,149,5,Some Random Commen with Id 79
80,17,8,59,9,Some Random Commen with Id 80
81,18,6,172,2,Some Random Commen with Id 81
82,18,6,66,4,Some Random Commen with Id 82
83,19,8,20,0,Some Random Commen with Id 83
84,19,8,154,6,Some Random Commen with Id 84
85,19,8,128,1,Some Random Commen with Id 85
86,19,8,48,4,Some Random Commen with Id 86
87,19,8,155,3,Some Random Commen with Id 87
88,19,8,131,5,Some Random Commen with Id 88
89,19,8,154,9,Some Random Commen with Id 89
90,19,8,33,3,Some Random Commen with Id 90
91,19,8,32,6,Some Random Commen with Id 91
92,20,2,50,1,Some Random Commen with Id 92
93,20,2,7,0,Some Random Commen with Id 93
94,20,2,172,8,Some Random Commen with Id 94
95,20,2,86,4,Some Random Commen with Id 95
96,20,2,198,7,Some Random Commen with Id 96
97,21,8,17,8,Some Random Commen with Id 97
98,21,8,96,2,Some Random Commen with Id 98
99,21,8,68,1,Some Random Commen with Id 99
100,21,8,84,9,Some Random Commen with Id 100
101,21,8,67,7,Some Random Commen with Id 101
102,21,8,82,2,Some Random Commen with Id 102
103,21,8,151,8,Some Random Commen with Id 103
104,22,0,24,9,Some Random Commen with Id 104
105,22,0,80,8,Some Random Commen with Id 105
106,22,0,142,7,Some Random Commen with Id 106
107,22,0,172,8,Some Random Commen with Id 107
108,22,0,183,6,Some Random Commen with Id 108
109,22,0,42,4,Some Random Commen with Id 109
110,22,0,179,3,Some Random Commen with Id 110
111,23,5,4,3,Some Random Commen with Id 111
112,23,5,80,9,Some Random Commen with Id 112
113,24,9,195,1,Some Random Commen with Id 113
114,24,9,2,6,Some Random Commen with Id 114
115,24,9,44,7,Some Random Commen with Id 115
116,24,9,141,6,Some Random Commen with Id 116
117,25,9,87,9,Some Random Commen with Id 117
118,25,9,155,6,Some Random Commen with Id 118
119,25,9,6,5,Some Random Commen with Id 119
120,25,9,150,3,Some Random Commen with Id 120
121,25,9,3,7,Some Random Commen with Id 121
122,25,9,132,2,Some Random Commen with Id 122
123,25,9,45,2,Some Random Commen with Id 123
124,25,9,146,7,Some Random Commen with Id 124
125,26,4,54,6,Some Random Commen with Id 125
126,27,7,25,1,Some Random Commen with Id 126
127,27,7,131,2,Some Random Commen with Id 127
128,28,6,3,9,Some Random Commen with Id 128
129,28,6,143,1,Some Random Commen with Id 129
130,28,6,41,7,Some Random Commen with Id 130
131,28,6,110,1,Some Random Commen with Id 131
132,30,7,155,2,Some Random Commen with Id 132
133,30,7,191,2,Some Random Commen with Id 133
134,30,7,0,9,Some Random Commen with Id 134
135,30,7,23,5,Some Random Commen with Id 135
136,31,8,151,0,Some Random Commen with Id 136
137,31,8,146,4,Some Random Commen with Id 137
138,31,8,162,0,Some Random Commen with Id 138
139,31,8,2,0,Some Random Commen with Id 139
140,31,8,43,3,Some Random Commen with Id 140
141,31,8,147,0,Some Random Commen with Id 141
142,31,8,30,7,Some Random Commen with Id 142
143,31,8,171,5,Some Random Commen with Id 143
144,31,8,142,4,Some Random Commen with Id 144
145,32,6,9,7,Some Random Commen with Id 145
146,32,6,187,2,Some Random Commen with Id 146
147,32,6,167,3,Some Random Commen with Id 147
148,32,6,31,2,Some Random Commen with Id 148
149,33,5,52,3,Some Random Commen with Id 149
150,33,5,119,7,Some Random Commen with Id 150
151,33,5,13,6,Some Random Commen with Id 151
152,33,5,50,6,Some Random Commen with Id 152
153,33,5,140,7,Some Random Commen with Id 153
154,33,5,64,3,Some Random Commen with Id 154
155,33,5,115,6,Some Random Commen with Id 155
156,34,7,111,2,Some Random Commen with Id 156
157,34,7,78,0,Some Random Commen with Id 157
158,34,7,189,9,Some Random Commen with Id 158
159,35,7,63,3,Some Random Commen with Id 159
160,36,7,79,1,Some Random Commen with Id 160
161,37,6,20,3,Some Random Commen with Id 161
162,38,5,170,6,Some Random Commen with Id 162
163,38,5,133,4,Some Random Commen with Id 163
164,38,5,132,7,Some Random Commen with Id 164
165,38,5,192,0,Some Random Commen with Id 165
166,39,0,129,0,Some Random Commen with Id 166
167,39,0,163,3,Some Random Commen with Id 167
168,39,0,83,9,Some Random Commen with Id 168
169,39,0,53,9,Some Random Commen with Id 169
170,39,0,143,9,Some Random Commen with Id 170
